"skill_id","experience_id","name","skill_level"
"1","1","HTML","2"
"2","1","CSS","2"
"3","1","Python","2"
"4","2","Web Development","2"
"5","2","Accessibility","2"
"6","2","User-Centered Design","2"
"7","5","Adobe XD","3"
"8","5","UI Design","3"
"9","6","HTML","2"
"10","6","CSS","2"
"11","6","JavaScript","2"
"12","7","HTML","2"
"13","7","CSS","2"
"14","7","JavaScript","2"
"15","8","UI/UX Research","2"
"16","9","Adobe Illustrator","3"
"17","9","Graphic Design","3"
"18","10","Instagram","3"
"19","10","Facebook","3"
"20","10","Content Strategy","3"
"21","12","HTML","2"
"22","12","Email Marketing","2"
"23","12","Handshake","2"
"24","13","Autodesk","2"
"25","13","3D Modeling","2"
"26","13","Technical Documentation","2"
"27","14","Documentation Design","2"
"28","15","React","3"
"29","15","Flask","3"
"30","15","MySQL","3"
"31","16","SQL","3"
"32","16","Docker","2"
"33","16","Google Cloud Platform","2"
"34","17","UI/UX Design","3"
"35","17","React","3"
"36","17","Next.js","3"
"37","18","Figma","3"
"38","18","User Research","3"
"39","18","Accessibility","3"
