"experience_id","position_id","name","description","hyperlink"
"1","3","Workshop Development","Created and led hands-on workshops teaching HTML, CSS, and Python fundamentals to 30+ K-12 students","NULL"
"2","3","Curriculum Design","Developed beginner-friendly web development curriculum emphasizing accessibility and user-centered design principles","NULL"
"3","3","STEM Event Presentations","Presented technical concepts to diverse audiences at large-scale STEM events (300+ students) including STEM Day and Introduce a Girl to Engineering","NULL"
"4","3","Leadership Development","Facilitated leadership development activities helping young women build confidence in technical fields","NULL"
"5","4","Design System Components","Designed and prototyped interactive UI components using Adobe XD for implementation on company's internal design system serving 2,000+ employees","NULL"
"6","4","Annotation Library","Developed web-based annotation library that streamlined communication workflow between clients, UX designers, and frontend developers, reducing review cycle time","NULL"
"7","4","UI Implementation","Implemented new UI elements using HTML, CSS, and JavaScript aligned with enterprise design system standards","NULL"
"8","4","UX Research","Conducted competitive research on UI/UX trends to improve design system accessibility and usability","NULL"
"9","5","Visual Content Creation","Developed custom illustrations, infographics, and visual content that aligned with brand identity and improved visual communication","NULL"
"10","5","Social Media Management","Managed social media content strategy across Instagram and Facebook (3,000+ followers), creating cohesive visual storytelling","NULL"
"11","5","Engagement Growth","Increased social media engagement by 300-400% through strategic content creation and original graphic designs","NULL"
"12","5","Email Marketing","Created and distributed weekly HTML email newsletters using Handshake, increasing event engagement and student participation","NULL"
"13","6","3D Modeling","Created 3D models and technical documentation for robot arm systems using Autodesk, developing blueprint for new manufacturing cell configuration","NULL"
"14","6","Documentation Standards","Designed standardized documentation templates for HR and Quality departments, establishing consistent visual and organizational standards company-wide","NULL"
"15","7","Full-Stack Architecture","Built full-stack portfolio with React frontend and Flask backend featuring database-driven resume system with normalized MySQL schema","https://ashleyarciniega.com"
"16","7","Database & Deployment","Engineered normalized SQL database schema with automated CSV import pipeline, deployed containerized application to Google Cloud Platform with custom domain configuration","https://ashleyarciniega.com"
"17","8","UI/UX Leadership","Led UI/UX design and frontend development for AI literacy training platform serving 1,100+ Health Alliance Plan employees","NULL"
"18","8","User Research & Prototyping","Conducted user research and created evidence-based personas to guide design decisions, then built comprehensive Figma prototypes before implementing React/Next.js frontend with accessibility focus","NULL"
